image,rating_average,reviews_count,brand,product_name
https://salt.tikicdn.com/cache/280x280/ts/product/af/0a/56/73f61616002a510fec2c85905d3fbc9a.jpg,5.0,15,OPPO,Điện Thoại Oppo A18 (4GB/128GB) - Hàng Chính Hãng
https://salt.tikicdn.com/cache/280x280/ts/product/7c/e8/34/4d3636aadb471cad0bf2f45d681e4f23.jpg,4.8,5569,"Không có thương hiệu","Thiên Tài Bên Trái, Kẻ Điên Bên Phải (Tái Bản)"
https://salt.tikicdn.com/cache/280x280/ts/product/53/a4/d5/96cd69577b39f003ac91db6d675e603a.jpg,4.5,10,Sumika,"Giường nệm xếp gọn kiểu dáng Hàn Quốc SUMIKA 339A, chiều rộng 90cm, tải trọng 300kg"
https://salt.tikicdn.com/cache/280x280/ts/product/cf/8d/2c/40ea244d8a13203b316b317150221a3b.jpg,4.4,18,iCybernet,"Cáp sạc nhanh IP chuẩn PD 20W iCybernet IC-1003 TypeC to IP chiều dài 1,2m - Hàng chính hãng"
https://salt.tikicdn.com/cache/280x280/ts/product/9d/f2/c2/a3977707e0e4e3474ffe95eafc827f17.PNG,4.2,76,VONESA,"Áo thun Nam Nữ Vonesa, áo phông Unisex Nam Nữ có Size từ 25-84kg B9"
https://salt.tikicdn.com/cache/280x280/ts/product/01/78/01/196d8076af1ecb48fef61e00ff1a64dc.jpg,3.0,1,Doka,"Áo Thun nam mẫu mới logo trước ngực, combo 3 áo - ĐB3QC04"
https://salt.tikicdn.com/cache/280x280/ts/product/aa/24/e0/57914989351786ef9dfe027046ba4626.jpg,4.8,3006,Apple,Apple iPhone 11
https://salt.tikicdn.com/cache/280x280/ts/product/ef/56/90/96693c5d77145c37c49c19ffb30c76ef.jpg,4.5,217,Laneige,Mặt Nạ Ngủ Dưỡng Ẩm Và Tăng Khả Năng Tự Vệ Của Da Phiên Bản Cải Tiến LANEIGE Water Sleeping Mask EX
https://salt.tikicdn.com/cache/280x280/ts/product/bd/26/4b/e60291ea9b0b62a50bb2a72bdafbf2be.jpg,4.8,20,Không có thương hiệu,Chúng Ta Làm Gì Với Trái Đất?
https://salt.tikicdn.com/cache/280x280/ts/product/7b/c1/37/0bba2ebaf8575360f62e55e27b278055.jpg,4.7,452,GOODFIT,"Túi đeo bụng chạy bộ chống nước, đai đeo điện thoại chạy bộ, túi đeo hông chạy bộ phản quang GoodFit GF106RB"
https://salt.tikicdn.com/cache/280x280/ts/product/a3/52/25/25890f3d035b26d6a60e65a1d58dcd21.jpg,4.9,1313,Pediasure,Sữa bột Abbott Pediasure 1.6kg cho trẻ từ 1-10 tuổi
https://salt.tikicdn.com/cache/280x280/ts/product/2d/e9/02/10b637e56de80adf33fe8a24afe50239.png,4.9,67,CHOETECH,Dây Cáp Nối Dài USB 3.0 Dài 2M CHOETECH XAA001-BK - Hàng Chính Hãng
